OrderID,OrderDate,OrderTime,StoreID,EmpID,Items,Revenue,Sales Tax,Total Charge,Payment,CustZipCode
S06085,1/2/2016,9:40:30 AM,Store01,HS21,5,646.97,32.35,679.32,Credit Card,07920
S06086,1/2/2016,10:19:21 AM,Store05,LF58,1,5.99,0.30,6.29,Cash,46282
S06087,1/2/2016,10:59:27 AM,Store01,JH83,3,156.30,7.82,164.12,Check,10107
S06088,1/2/2016,11:37:04 AM,Store03,GS28,7,1047.05,52.35,1099.40,Credit Card,22214
S06089,1/2/2016,12:15:55 PM,Store04,DW50,3,95.97,4.80,100.77,Credit Card,60558
S06090,1/2/2016,12:55:12 PM,Store03,RP63,2,131.98,6.60,138.58,Check,20783
S06091,1/2/2016,1:34:28 PM,Store02,HW53,1,229.99,11.50,241.49,Check,19063
S06092,1/2/2016,2:12:30 PM,Store05,JM15,1,627.00,31.35,658.35,Other,46239
S06093,1/2/2016,2:50:07 PM,Store02,CP22,2,519.99,26.00,545.99,Credit Card,08611
S06094,1/2/2016,3:29:48 PM,Store05,TS47,3,628.98,31.45,660.43,Credit Card,46228
S06095,1/2/2016,4:07:50 PM,Store05,RC69,3,127.95,6.40,134.35,Credit Card,46225
S06096,1/2/2016,4:46:41 PM,Store01,EG59,2,105.98,5.30,111.28,Credit Card,11105
S06097,1/2/2016,5:23:53 PM,Store04,MN66,1,209.99,10.50,220.49,Credit Card,60040
S06098,1/2/2016,6:02:20 PM,Store01,MW25,2,264.19,13.21,277.40,Credit Card,10457
S06099,1/2/2016,6:42:01 PM,Store03,RH45,3,622.60,31.13,653.73,Check,18701
S06100,1/2/2016,7:22:06 PM,Store03,WH43,1,74.99,3.75,78.74,Credit Card,20910
S06101,1/2/2016,8:00:58 PM,Store01,JA65,1,43.99,2.20,46.19,Credit Card,11096
S06102,1/3/2016,9:47:31 AM,Store01,LM62,1,41.99,2.10,44.09,Credit Card,11229
S06103,1/3/2016,10:36:16 AM,Store02,JD45,1,56.20,2.81,59.01,Credit Card,08002
S06104,1/3/2016,11:23:48 AM,Store02,MA99,4,599.84,29.99,629.83,Credit Card,08007
S06105,1/3/2016,12:11:19 PM,Store04,SH92,3,101.97,5.10,107.07,Credit Card,60513
S06106,1/3/2016,12:58:01 PM,Store02,NC86,2,143.40,7.17,150.57,Credit Card,19135
S06107,1/3/2016,1:47:11 PM,Store02,DL94,2,23.80,1.19,24.99,Other,19026
S06108,1/3/2016,2:35:56 PM,Store01,NF75,2,539.98,27.00,566.98,Credit Card,11228
S06109,1/3/2016,3:25:06 PM,Store04,HW53,1,627.00,31.35,658.35,Other,60604
S06110,1/3/2016,4:13:26 PM,Store02,RK43,2,297.99,14.90,312.89,Credit Card,08003
S06111,1/3/2016,5:01:47 PM,Store05,JK28,1,28.15,1.41,29.56,Credit Card,46260
S06112,1/3/2016,5:49:43 PM,Store03,JM66,1,75.00,3.75,78.75,Credit Card,22042
S06113,1/3/2016,6:36:00 PM,Store02,AC67,2,49.98,2.50,52.48,Cash,19132
S06114,1/3/2016,7:23:31 PM,Store04,JY21,4,515.98,25.80,541.78,Credit Card,60601
S06115,1/3/2016,8:09:48 PM,Store05,CG40,3,247.93,12.40,260.33,Credit Card,46241
S06116,1/4/2016,9:49:35 AM,Store02,JM45,1,59.99,3.00,62.99,Credit Card,19075
S06117,1/4/2016,10:36:41 AM,Store01,SM69,1,627.00,31.35,658.35,Credit Card,07202
S06118,1/4/2016,11:22:58 AM,Store05,WM89,2,229.98,11.50,241.48,Check,46229
S06119,1/4/2016,12:11:19 PM,Store02,WD82,2,374.98,18.75,393.73,Credit Card,08109
S06120,1/4/2016,12:58:25 PM,Store01,AD23,3,101.97,5.10,107.07,Credit Card,11379
